ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf
PSCO,1990,10,6474.205030000001,38.932,744,14,0.223515064244909
PSCO,1990,11,6907.2720500000005,38.932,720,14,0.24641511873979702
PSCO,1990,12,6182.05231,38.932,744,14,0.213428801348146
PSCO,1991,1,6954.02617,38.932,744,14,0.24008038036267257
PSCO,1991,2,7466.02845,38.932,672,14,0.285373507241564
PSCO,1991,3,9290.990160000001,38.932,744,14,0.32076158430083224
PSCO,1991,4,9711.253229999998,38.932,720,14,0.3464464119062296
PSCO,1991,5,13521.1699,38.932,744,14,0.46680405468481573
PSCO,1991,6,15897.240989999998,38.932,720,14,0.5671299027792047
PSCO,1991,7,14244.163089999996,38.932,744,14,0.4917646280004064
PSCO,1991,8,10935.176510000001,38.932,744,14,0.37752537475046094
PSCO,1991,9,8332.78073,38.932,720,14,0.2972697670154229
PSCO,1991,10,6258.179760000001,38.932,744,14,0.2160570208436215
PSCO,1991,11,5827.86928,38.932,720,14,0.20790770802653055
PSCO,1991,12,6640.596709999999,38.932,744,14,0.22925956057653318
PSCO,1992,1,6608.46882,38.932,744,14,0.2281503792385731
PSCO,1992,2,6656.72941,38.932,696,14,0.24566594045202303
PSCO,1992,3,9360.50803,38.932,744,14,0.3231616150547577
PSCO,1992,4,13135.77896,38.932,720,14,0.46861546913707086
PSCO,1992,5,15972.555629999999,38.932,744,14,0.5514355478783519
PSCO,1992,6,15711.370459999998,38.932,720,14,0.5604990203717021
PSCO,1992,7,11943.538949999998,38.932,744,14,0.41233801885338534
PSCO,1992,8,9125.443650000001,38.932,744,14,0.31504626656734824
PSCO,1992,9,6858.995010000001,38.932,720,14,0.24469284799993152
PSCO,1992,10,5081.305560000001,38.932,744,14,0.17542668689493346
PSCO,1992,11,5683.129529999999,38.932,720,14,0.20274415540771942
PSCO,1992,12,5714.83313,38.932,744,14,0.19729855453788187
PSCO,1993,1,6971.489550000001,38.932,744,14,0.24068328504124648
PSCO,1993,2,6800.51685,38.932,672,14,0.25993570176388137
PSCO,1993,3,7832.24784,38.932,744,14,0.27040005236591175
PSCO,1993,4,10557.780429999999,38.932,720,14,0.3766460477385069
PSCO,1993,5,14415.23012,38.932,744,14,0.4976705358336399
PSCO,1993,6,16424.83701,38.932,720,14,0.5859517524144662
PSCO,1993,7,15192.71243,38.932,744,14,0.5245122882439632
PSCO,1993,8,11100.5144,38.932,744,14,0.3832334900996388
PSCO,1993,9,9241.738979999998,38.932,720,14,0.3296966141819925
PSCO,1993,10,7970.02527,38.932,744,14,0.2751566720551632
PSCO,1993,11,7050.660239999998,38.932,720,14,0.25153045481009617
PSCO,1993,12,6430.01398,38.932,744,14,0.221989415098175
PSCO,1994,1,5859.40844,38.932,744,14,0.20228986382653402
PSCO,1994,2,6155.607040000001,38.932,672,14,0.23528535713062584
PSCO,1994,3,7861.75957,38.932,744,14,0.27141891355371206
PSCO,1994,4,11902.38777,38.932,720,14,0.4246145619284907
PSCO,1994,5,16023.458969999996,38.932,744,14,0.5531929317204851
PSCO,1994,6,15732.082510000004,38.932,720,14,0.5612379173230819
PSCO,1994,7,10811.612019999999,38.932,744,14,0.3732594417451326
PSCO,1994,8,8164.265780000001,38.932,744,14,0.2818626197152134
PSCO,1994,9,6486.7406599999995,38.932,720,14,0.23141277169880242
PSCO,1994,10,5701.82091,38.932,744,14,0.1968493214388694
PSCO,1994,11,5692.76728,38.932,720,14,0.20308797961117392
PSCO,1994,12,5213.753339999999,38.932,744,14,0.17999930606881143
PSCO,1995,1,5566.64208,38.932,744,14,0.19218241565939617
PSCO,1995,2,6621.8924,38.932,672,14,0.2531081513310142
PSCO,1995,3,7192.4059099999995,38.932,744,14,0.2483101881389
PSCO,1995,4,6889.207380000001,38.932,720,14,0.24577066637556083
PSCO,1995,5,8642.872040000002,38.932,744,14,0.2983859933890799
PSCO,1995,6,14477.50717,38.932,720,14,0.5164812711194448
PSCO,1995,7,15365.310039999998,38.932,744,14,0.5304710377288661
PSCO,1995,8,13052.91214,38.932,744,14,0.45063795200122847
PSCO,1995,9,11088.596950000001,38.932,720,14,0.3955827878665937
PSCO,1995,10,9026.04742,38.932,744,14,0.3116147171135998
PSCO,1995,11,6838.57056,38.932,720,14,0.24396421110311997
PSCO,1995,12,7038.458209999999,38.932,744,14,0.2429953070227769
PSCO,1996,1,6936.1693399999995,38.932,744,14,0.23946389224001263
PSCO,1996,2,7377.63009,38.932,696,14,0.27227070874238724
PSCO,1996,3,7919.73041,38.932,744,14,0.2734202953398758
PSCO,1996,4,9910.902140000002,38.932,720,14,0.3535688344064295
PSCO,1996,5,17605.608890000003,38.932,744,14,0.6078149801998302
PSCO,1996,6,18927.56965,38.932,720,14,0.6752360829280684
PSCO,1996,7,16485.304709999997,38.932,744,14,0.5691376662120553
PSCO,1996,8,11819.819409999998,38.932,744,14,0.40806673291120216
PSCO,1996,9,8828.2789100000009,38.932,720,14,0.3149465346273274
PSCO,1996,10,6871.47499,38.932,744,14,0.23723038839984575
PSCO,1996,11,5735.19565,38.932,720,14,0.20460160058278248
PSCO,1996,12,6205.017809999999,38.932,744,14,0.21422166088597816
PSCO,1997,1,6449.08626,38.932,744,14,0.22264786534337788
PSCO,1997,2,6675.17829,38.932,672,14,0.2551448943487546
PSCO,1997,3,7122.13151,38.932,744,14,0.2458840389888518
PSCO,1997,4,9312.104060000001,38.932,720,14,0.3322068699555921
PSCO,1997,5,15240.26641,38.932,744,14,0.5261540389833279
PSCO,1997,6,17780.423600000002,38.932,720,14,0.6343119484685549
PSCO,1997,7,16191.425120000002,38.932,744,14,0.5589917849594939
PSCO,1997,8,12625.04495,38.932,744,14,0.43586629092191614
PSCO,1997,9,10139.025429999998,38.932,720,14,0.3617070729448496
PSCO,1997,10,7819.10581,38.932,744,14,0.26994633771428317
PSCO,1997,11,6397.23567,38.932,720,14,0.22821970465598135
PSCO,1997,12,6564.33691,38.932,744,14,0.22662677183763474
PSCO,1998,1,6305.02304,38.932,744,14,0.21767423541902117
PSCO,1998,2,6539.15973,38.932,672,14,0.2499458660062967
PSCO,1998,3,7496.534009999999,38.932,744,14,0.2588098883330074
PSCO,1998,4,10533.881459999999,38.932,720,14,0.3757934582519949
PSCO,1998,5,15255.569160000001,38.932,744,14,0.5266823502020065
PSCO,1998,6,16140.112449999999,38.932,720,14,0.575794278414215
PSCO,1998,7,14111.93468,38.932,744,14,0.4871995823431867
PSCO,1998,8,10737.79614,38.932,744,14,0.3707110267530152
PSCO,1998,9,8073.9790600000015,38.932,720,14,0.2880370853168488
PSCO,1998,10,6342.57535,38.932,744,14,0.2189706891061227
PSCO,1998,11,5394.32831,38.932,720,14,0.1924412476311974
PSCO,1998,12,6347.39299,38.932,744,14,0.21913701301911578
PSCO,1999,1,6701.38065,38.932,744,14,0.23135806165754683
PSCO,1999,2,7027.646720000001,38.932,672,14,0.26861727162867616
PSCO,1999,3,7635.019559999999,38.932,744,14,0.26359095511445924
PSCO,1999,4,8792.58627,38.932,720,14,0.31367320905681695
PSCO,1999,5,13824.56391,38.932,744,14,0.47727841120000797
PSCO,1999,6,17195.24895,38.932,720,14,0.6134359963098052
PSCO,1999,7,15325.218410000001,38.932,744,14,0.5290869167111335
PSCO,1999,8,12250.314010000002,38.932,744,14,0.4229291025349962
PSCO,1999,9,8850.34746,38.932,720,14,0.3157338243604233
PSCO,1999,10,6288.100579999999,38.932,744,14,0.21709000542992524
PSCO,1999,11,4950.6030900000005,38.932,720,14,0.17661146678824619
PSCO,1999,12,5670.743219999999,38.932,744,14,0.19577639714241205
PSCO,2000,1,6597.195930000001,38.932,744,14,0.22776119466364844
PSCO,2000,2,7209.72254,38.932,696,14,0.26607409721754754
PSCO,2000,3,8456.904209999999,38.932,744,14,0.2919656512347417
PSCO,2000,4,11137.60444,38.932,720,14,0.3973311172186262
PSCO,2000,5,15547.760579999998,38.932,744,14,0.5367699491752368
PSCO,2000,6,14707.96038,38.932,720,14,0.524702628942772
PSCO,2000,7,10971.451159999997,38.932,744,14,0.378777718580729
PSCO,2000,8,8180.44934,38.932,744,14,0.28242133996524404
PSCO,2000,9,6656.26434,38.932,720,14,0.2374604845200178
PSCO,2000,10,5471.848739999999,38.932,744,14,0.18890977610258414
PSCO,2000,11,4922.04117,38.932,720,14,0.17559252778348575
PSCO,2000,12,5166.135619999999,38.932,744,14,0.17835535477352846
PSCO,2001,1,5472.7445,38.932,744,14,0.18894070126683524
PSCO,2001,2,6288.42551,38.932,672,14,0.24036206864655343
PSCO,2001,3,5921.515220000001,38.932,744,14,0.20443403455597797
PSCO,2001,4,7358.349469999999,38.932,720,14,0.26250718738940826
PSCO,2001,5,10092.799,38.932,744,14,0.3484431843666763
PSCO,2001,6,8664.27103,38.932,720,14,0.30909559652442437
PSCO,2001,7,6595.59695,38.932,744,14,0.22770599157450155
PSCO,2001,8,6575.747090000001,38.932,744,14,0.22702069620424473
PSCO,2001,9,5601.33591,38.932,720,14,0.19982618946710504
PSCO,2001,10,5062.515049999999,38.932,744,14,0.17477796446022784
PSCO,2001,11,4592.40223,38.932,720,14,0.1638327450569083
PSCO,2001,12,4625.275030000001,38.932,744,14,0.15968271636291126
PSCO,2002,1,5276.948589999999,38.932,744,14,0.18218105507093146
PSCO,2002,2,6083.60638,38.932,672,14,0.23253328070799878
PSCO,2002,3,5349.0734999999995,38.932,744,14,0.18467109111668645
PSCO,2002,4,5129.464599999999,38.932,720,14,0.18299230424557913
PSCO,2002,5,5473.700450000001,38.932,744,14,0.18897370442701864
PSCO,2002,6,4769.67328,38.932,720,14,0.17015684327088826
PSCO,2002,7,5203.074679999999,38.932,744,14,0.17963063665459153
PSCO,2002,8,5734.96527,38.932,744,14,0.19799359532584523
PSCO,2002,9,3199.61485,38.932,720,14,0.11414542057661792
PSCO,2002,10,3192.2061000000003,38.932,744,14,0.11020753099697406
PSCO,2002,11,1925.4429599999999,38.932,720,14,0.0686896725915271
PSCO,2002,12,1889.6978600000002,38.932,744,14,0.06523981502349285
PSCO,2003,1,3012.22367,38.932,744,14,0.10399382843148627
PSCO,2003,2,3595.4338800000005,38.932,672,14,0.13742802927448594
PSCO,2003,3,5532.993089999999,38.932,744,14,0.19102071995671524
PSCO,2003,4,6957.435019999999,38.932,720,14,0.2482046695377695
